caldt,t90ret,t30ret
20111031,0.000025,0.000014
20111130,0.000006,0.000004
20111230,-0.000009,0.000000
20120131,-0.000048,-0.000002
20120229,0.000018,0.000031
20120330,0.000088,0.000046
20120430,0.000036,0.000029
20120531,0.000175,0.000065
20120629,0.000095,0.000022
20120731,0.000102,0.000032
20120831,0.000123,0.000050
20120928,0.000109,0.000067
20121031,0.000067,0.000037
20121130,0.000195,0.000085
20121231,0.000118,0.000103
20130131,0.000019,0.000022
20130228,0.000017,0.000054
20130328,0.000143,0.000041
20130430,0.000165,0.000037
20130531,0.000093,0.000012
20130628,0.000053,0.000013
20130731,0.000048,0.000009
20130830,0.000072,0.000009
20130930,0.000040,0.000008
20131031,-0.000018,0.000017
20131129,0.000063,0.000032
20131231,0.000122,0.000023
20140131,0.000149,0.000012
20140228,-0.000023,0.000045
20140331,0.000096,0.000028
20140430,0.000053,0.000015
20140530,0.000029,0.000008
20140630,0.000042,0.000020
20140731,0.000047,0.000013
20140829,0.000022,0.000003
20140930,0.000047,0.000004
20141031,0.000001,0.000012
20141128,0.000034,-0.000001
20141231,0.000001,0.000005
20150130,0.000119,0.000013
20150227,-0.000005,-0.000021
20150331,-0.000023,-0.000008
20150430,0.000080,0.000029
20150529,0.000038,-0.000005
20150630,0.000029,0.000004
20150731,0.000006,-0.000037
20150831,0.000136,0.000027
20150930,0.000022,-0.000006
20151030,-0.000129,-0.000027
20151130,0.000089,0.000020
20151231,0.000249,0.000103
20160129,-0.000057,0.000037
20160229,0.000341,0.000205
20160331,0.000474,0.000190
20160429,0.000254,0.000051
20160531,0.000155,0.000115
20160630,0.000437,0.000188
20160729,0.000261,0.000171
20160831,0.000269,0.000165
20160930,0.000562,0.000219
20161031,0.000282,0.000168
20161130,0.000123,0.000136
20161230,0.000437,0.000239
20170131,0.000476,0.000358
20170228,0.000352,0.000364
20170331,0.000384,0.000353
20170428,0.000617,0.000537
20170531,0.000588,0.000614
20170630,0.000873,0.000617
20170731,0.000917,0.000722
20170831,0.000978,0.000827
20170929,0.000802,0.000944
20171031,0.000939,0.000840
20171130,0.000951,0.000826
20171229,0.000942,0.000884
20180131,0.001346,0.001121
20180228,0.000969,0.001073
20180329,0.001145,0.000261
20180430,0.001479,0.001433
20180531,0.001491,0.001401
20180629,0.001522,0.001408
20180731,0.001691,0.001558
20180831,0.001675,0.001575
20180928,0.001524,0.001490
20181031,0.001931,0.001890
20181130,0.001900,0.001795
20181231,0.001935,0.001930
