Year,Month,Stock_lag_MV,Stock_Ew_Ret,Stock_Vw_Ret
1926,1,26903.95256,0.022431768,0.00024718
1926,2,27032.34525,-0.05163699,-0.033976016
1926,3,26162.08369,-0.093741925,-0.06487498
1926,4,24506.93169,0.030398295,0.036694607
1926,5,25274.39456,0.002038179,0.012259526
1926,6,25594.68525,0.047940574,0.054375975
1926,7,26937.26713,0.012072202,0.031236748
1926,8,27402.10725,0.029774708,0.028823639
1926,9,28424.389,-0.006399994,0.005894367
1926,10,28308.14406,-0.033303694,-0.029081356
1926,11,27501.09538,0.023832584,0.028185484
1926,12,28281.30263,0.023524148,0.028972251
1927,1,29615.34656,0.011517586,0.001899069
1927,2,29783.69531,0.051993247,0.044243026
1927,3,34730.22255,-0.018591386,0.003811713
1927,4,31199.38019,0.007412401,0.007126009
1927,5,31452.86456,0.061050127,0.057261438
1927,6,33469.62919,-0.01749278,-0.020780092
1927,7,32782.78206,0.056630109,0.075173361
1927,8,35015.154,0.00514474,0.022243452
1927,9,35793.62981,0.03064533,0.049619526
1927,10,39052.71719,-0.037522043,-0.04031814
1927,11,37295.54106,0.091470357,0.067209192
1927,12,39512.04206,0.030062188,0.023007496
1928,1,40899.81406,0.031316408,-0.003243677
1928,2,40131.60475,-0.021559205,-0.013562302
1928,3,39404.01963,0.070794543,0.090682751
1928,4,42920.254,0.085115603,0.044646979
1928,5,44712.6545,0.04328714,0.018441735
1928,6,45655.52344,-0.067638094,-0.045123259
1928,7,43615.92994,0.001215705,0.009490728
1928,8,44218.22125,0.056871214,0.069979037
1928,9,47406.64881,0.048901036,0.031311736
1928,10,49010.12144,0.017709884,0.018910485
1928,11,50525.0103,0.112418066,0.120556562
1928,12,56214.138,-0.004450693,0.004249111
1929,1,58301.29825,0.034622025,0.049923381
1929,2,61875.58301,0.005965068,0.00018362
1929,3,61100.91223,-0.031510227,-0.004992677
1929,4,61219.70788,0.014704445,0.017818927
1929,5,63917.58907,-0.086304802,-0.058823656
1929,6,60690.74513,0.072435589,0.102084357
1929,7,66689.18675,0.019882136,0.045968566
1929,8,69851.60619,0.026402412,0.087120021
1929,9,78323.82556,-0.042941561,-0.050505363
1929,10,74373.61363,-0.19808918,-0.193853366
1929,11,60493.8145,-0.124916069,-0.122328364
1929,12,52780.12413,-0.026311655,0.016903588
1930,1,55151.94569,0.102949418,0.057443837
1930,2,58958.88238,0.034881575,0.027972855
1930,3,60406.26694,0.102848759,0.074404028
1930,4,65130.69788,-0.042007908,-0.018356253
1930,5,63976.75538,-0.037898923,-0.013998224
1930,6,63557.35963,-0.183583027,-0.158250988
1930,7,53092.83638,0.033999221,0.043145531
1930,8,56528.38381,-0.017898874,0.003886489
1930,9,56900.21031,-0.147673131,-0.124018
1930,10,49122.27288,-0.094873906,-0.086735778
1930,11,45196.76206,-0.02458382,-0.029060229
1930,12,43944.82413,-0.136341016,-0.076599686
1931,1,40665.04269,0.136995879,0.063788395
1931,2,43210.81744,0.149764898,0.109088975
1931,3,47779.92225,-0.062505992,-0.061912835
1931,4,44425.50613,-0.146749286,-0.098664284
1931,5,39951.2925,-0.139268394,-0.131454135
1931,6,34652.8875,0.175041655,0.139592831
1931,7,39240.60963,-0.066797639,-0.065543912
1931,8,36559.7885,-0.019558887,0.00439741
1931,9,36420.867,-0.301074166,-0.287942055
1931,10,25272.45613,0.096036704,0.081187039
1931,11,27250.93338,-0.089397304,-0.088885407
1931,12,24655.87556,-0.180998266,-0.133978309
1932,1,21180.78338,0.080333266,-0.013429301
1932,2,20924.45963,0.019784233,0.056742068
1932,3,21927.65731,-0.120182273,-0.110536047
1932,4,19422.13038,-0.174405519,-0.177725794
1932,5,15843.99613,-0.200352742,-0.203231737
1932,6,12456.98988,0.036375332,-0.006770707
1932,7,12141.67419,0.427309521,0.337526849
1932,8,16218.79781,0.661524415,0.370912461
1932,9,22171.19925,-0.054737,-0.02903044
1932,10,21393.21756,-0.163447341,-0.131312026
1932,11,18516.20069,-0.076263863,-0.058413981
1932,12,17308.70219,-0.032554948,0.044029698
1933,1,17916.415,0.036667294,0.012615492
1933,2,18159.81288,-0.153467899,-0.152705931
1933,3,15290.756,0.096577197,0.031583137
1933,4,15497.91025,0.506042049,0.388802916
1933,5,21646.08331,0.602579623,0.214466934
1933,6,26229.72469,0.221611085,0.130891015
1933,7,29578.98656,-0.091144359,-0.096074975
1933,8,26755.42931,0.110247039,0.120370259
1933,9,29947.46431,-0.148504543,-0.105964916
1933,10,26556.62625,-0.106387565,-0.083444746
1933,11,24337.12494,0.064039918,0.099748774
1933,12,26724.62369,0.017155855,0.018449646
1934,1,27101.0315,0.315546923,0.126371645
1934,2,30463.16794,0.011943826,-0.024736795
1934,3,29668.55219,0.006700569,0.001130801
1934,4,29518.29463,0.002178205,-0.017813801
1934,5,29037.36369,-0.108397187,-0.072544955
1934,6,26839.79525,0.002608987,0.02647476
1934,7,27403.30256,-0.185706978,-0.109114963
1934,8,24304.15256,0.095161883,0.055843201
1934,9,26020.80088,-0.00986728,-0.002230079
1934,10,25746.02481,-0.019334208,-0.016564578
1934,11,25426.47563,0.128400949,0.083331197
1934,12,27471.50388,0.014750632,0.003714168
1935,1,27430.00625,-0.031725223,-0.034378565
1935,2,26411.7835,-0.058086689,-0.019331607
1935,3,25659.04356,-0.073247209,-0.036255831
1935,4,24443.97463,0.098933951,0.090678917
1935,5,26936.18875,0.023221694,0.034780737
1935,6,27787.79388,0.040704171,0.059377536
1935,7,29309.74538,0.109825897,0.074661627
1935,8,31398.70213,0.081450748,0.026660647
1935,9,32210.58103,0.024863303,0.026351084
1935,10,32924.7275,0.084116274,0.07038389
1935,11,35174.29406,0.144818718,0.048999337
1935,12,36745.61075,0.058331996,0.04560586
1936,1,38465.574,0.149417721,0.068946938
1936,2,41057.43231,0.043415178,0.025013614
1936,3,42072.15725,0.006210517,0.009981128
1936,4,42170.30444,-0.120917553,-0.081211946
1936,5,39198.94769,0.051119314,0.052072417
1936,6,41085.23813,-0.000322993,0.024293366
1936,7,42043.98619,0.080572231,0.066825777
1936,8,44816.54988,0.019156849,0.010055173
1936,9,45077.85231,0.034744299,0.009850206
1936,10,45439.882,0.064808076,0.071594458
1936,11,48685.27763,0.090954028,0.032728123
1936,12,49948.02538,0.026800993,0.002132702
1937,1,50101.77869,0.074713286,0.033662369
1937,2,51791.17219,0.023753438,0.01102927
1937,3,52333.43213,0.0019326,-0.00241843
1937,4,52305.09456,-0.099687329,-0.073172504
1937,5,48511.21969,-0.024349749,-0.007709715
1937,6,47926.67181,-0.076073991,-0.0418046
1937,7,45906.35625,0.09859808,0.089411633
1937,8,49888.49375,-0.052050388,-0.048337209
1937,9,47379.05875,-0.193486135,-0.135742243
1937,10,40808.24944,-0.100791753,-0.095908374
1937,11,36950.5845,-0.109297396,-0.082869139
1937,12,33429.56469,-0.09961118,-0.042210026
1938,1,31687.91794,0.041727042,0.004911855
1938,2,32076.42063,0.060709414,0.058358111
1938,3,33780.82856,-0.282390839,-0.237704183
1938,4,25575.28913,0.201322264,0.144914343
1938,5,29265.51256,-0.070862415,-0.038298558
1938,6,28086.46844,0.30606321,0.238240606
1938,7,34566.0835,0.122140567,0.073296665
1938,8,37058.0565,-0.063260227,-0.026684139
1938,9,35951.25119,-0.014955042,0.008288551
1938,10,36104.45006,0.142672557,0.07804886
1938,11,38868.737,-0.037369291,-0.017868869
1938,12,37981.93925,0.029841351,0.041904902
1939,1,39258.87375,-0.075027329,-0.059459373
1939,2,36786.57431,0.041182341,0.035159031
1939,3,38051.19081,-0.172267234,-0.119891734
1939,4,33330.85238,0.001341325,-0.001863256
1939,5,33224.22656,0.084249422,0.068041024
1939,6,35382.96188,-0.083829871,-0.052987411
